ROOM No,NAME,MOVE IN DATE,,TELEPHONE NUMBER,EMAIL,VOID DATE,FLOOR,LOCATION ON FLOOR,ROOM SIZE,NOTES ON ROOM ,key
26,Maxine Lynn\,26/01/2016,,07938 530934,,,1st,Front,SINGLE,SELF CONTAINED,bn21fa-35
27,Maxine Lynn,27/01/2016,,07938 530934,,,1st,Back,SINGLE,SELF CONTAINED,bn21fa-35
28,Nathan Blind,28/01/2016,,07938 530934,,,1st,Front,SINGLE,SELF CONTAINED,bn21fa-35
29,Sam White,29/01/2016,,07938 530934,,,1st,Front,SINGLE,SELF CONTAINED,bn21fa-35
30,Richard Harris,30/01/2016,,07938 530934,,,1st,Back,SINGLE,SHOWER AND LOO UP A FLIGHT OF STAIRS,bn21fa-35
31,Billy Lewis,31/01/2016,,07938 530934,,,2nd,Back,SINGLE,"HALF LANDING, SELF CONTAINED",bn21fa-35
32,Carl Hope,01/02/2016,,07938 530934,,,2nd,Back,SINGLE,SELF CONTAINED,bn21fa-35
33,Abigail Davis,02/02/2016,,07938 530934,,,2nd,Front,SINGLE,SELF CONTAINED,bn21fa-35
34,Ali Thorne,03/02/2016,,07938 530934,,,2nd,Front,SINGLE,SELF CONTAINED,bn21fa-35
35,Amy Holmes,04/02/2016,,07938 530934,,,2nd,Back,SINGLE,SELF CONTAINED,bn21fa-35
36,Auds Schooler,05/02/2016,,07938 530934,,,2nd,Front,SINGLE,SELF CONTAINED,bn21fa-35
37,Beatrice Barrie,06/02/2016,,07938 530934,,,2nd,Front,DOUBLE,SELF CONTAINED,bn21fa-35
38,Ben Heights,07/02/2016,,07938 530934,,,2nd,back,SINGLE,"HALF LANDING, SELF CONTAINED",bn21fa-35
39,Libby Watner,08/02/2016,,07938 530934,,,2nd,back,,SELF CONTAINED,bn21fa-35
40,Bonnie tongue,09/02/2016,,07938 530934,,,2nd,front,SINGLE,SELF CONTAINED,bn21fa-35
41,Carol Bradley,10/02/2016,,07938 530934,,,2nd,front,SINGLE,SELF CONTAINED,bn21fa-35
42,Conor heath,11/02/2016,,07938 530934,,,2nd,back,SINGLE,"HALF LANDING, SELF CONTAINED",bn21fa-35
43,Daniel Gibson,12/02/2016,,07938 530934,,,3rd,back,SINGLE,SELF CONTAINED,bn21fa-35
44,Eleanor Clegg,13/02/2016,,07938 530934,,,3rd,front,SINGLE,SELF CONTAINED,bn21fa-35
45,Geraldine Symons,14/02/2016,,07938 530934,,,3rd,front,SINGLE,SELF CONTAINED,bn21fa-35
46,Geroge Wiles,15/02/2016,,07938 530934,,,3rd,back,SINGLE,SELF CONTAINED,bn21fa-35
47,Harriet Higo,16/02/2016,,07938 530934,,,3rd,front,DOUBLE,SELF CONTAINED,bn21fa-35
48,Lauren Woodrow,17/02/2016,,07938 530934,,,3rd,front,SINGLE,SELF CONTAINED,bn21fa-35
49,Lev Pot,18/02/2016,,07938 530934,,,3rd,back,SINGLE,SELF CONTAINED,bn21fa-35
50,Kat Brighotn,19/02/2016,,07938 530934,,,3rd,front,SINGLE,SELF CONTAINED,bn21fa-35
51,John williams ,20/02/2016,,07938 530934,,,3rd,front,SINGLE,SELF CONTAINED,bn21fa-35
52,Josh Barlow,21/02/2016,,07938 530934,,,4th,back,SINGLE,SELF CONTAINED,bn21fa-35
53,Greg Glasson,22/02/2016,,07938 530934,,,4th,front,DOUBLE,SELF CONTAINED,bn21fa-35
54,Emma Green,23/02/2016,,07938 530934,,,4th,front,DOUBLE,SELF CONTAINED,bn21fa-35
55,Greta Pearl,24/02/2016,,07938 530934,,,4th,back,SINGLE,SELF CONTAINED,bn21fa-35
56,Cherry Walnut,25/02/2016,,07938 530934,,,4th,front,SINGLE,SELF CONTAINED,bn21fa-35
57,William Montgomery,26/02/2016,,07938 530934,,,4th,front,SINGLE,SELF CONTAINED,bn21fa-35
58,Bennett Ashworth,27/02/2016,,07938 530934,,,4th,front,SINGLE,SELF CONTAINED,bn21fa-35
59,James Macy,28/02/2016,,07938 530934,,,4th,back,SINGLE,SELF CONTAINED,bn21fa-35
60,Lizzie Carter,29/02/2016,,07938 530934,,,4th,front ,DOUBLE,SELF CONTAINED,bn21fa-35
61,Morris Matthews,01/03/2016,,07938 530934,,,Ground,Front,SINGLE,SELF CONTAINED,bn21fa-35
62,Robert Griffith,02/03/2016,,07938 530934,,,Ground,Front,SINGLE,SEPARATE SHOWER ROOM ,bn21fa-35
